,message,cyberbullying
80,hayranı olduğunuz hayatın tadını çıkartıyorum inan’ın çok mutluyum,0
81,çünkü sen her zaman sen muhabbetle,0
82,ders çalıştık yorulduk sınava girdik yine yorulduk mülakat dönemi ayrı yorucu her aşamada yorulduk yıprandık,0
83,banada şey gibi geliyo şişko olduğum için kimsenin fikrinin ince gülü olamam,0
84,od ama bida andaval deme uzuluyorum i geceler,0
85,gerizeka bir orospu evladı olduğu için,1
86,tarihimizin en pahalı kadrolarından birisini böyle vasat beyinsiz bir hocayla tüketemeyiz igor tudor en kısa sürede kovulsun,1
87,bu soru öyle mi sorulur dalyarak,1
88,hayırdır la benimle uğraşmanın sebebi nedir şeref yoksunu insan çok şükür biz senin gibi dönek değiliz dönek,1
89,topluluk karşısında başarılı bir konuşma yapmanın sırrı,0
90,çikolata yiyemiom alerjim geçene kadar yasak,0
91,allah kökünüzü kurutsun şerefsiz şirret sürüsü,1
92,hakkında çok iyi şeyler bildiğin insanın tam bir pezevenk çıkması,1
93,bu beyinsiz hedef kitlesi de bellio yuzden rahatherhangi bir seyi bilmek,1
94,aynen yavşak yine başka kıza aşık olmuşsun çok seviyormuşsun iki gün sonra arkasından orospu dediğini duyar gibiyim,1
95,en son hangi takımda başarılı olmuş bence çok konuşuyor az konuşup icraat yapması lazım inş başarır ne diyelim çok ümidim yok,0
96,bana bu tipi yorumlatiyosun ne curettle favladin sen bu tiviti amk keli keli,1
97,tudor bu gerizeka pıcı hemen takımdan gonderın hemenn serefınız varsa mk,1
98,bende umarımgerizekali bide bize kızıyor doğru söylediğimiz için bize blok ettiama doğru,1
99,şu samimiyete bakın,0
100,hassiktir lan gebeş,1
101,herkese nasıl aynı değeri verebiliyon amk,1
102,en büyük en güzel en önemli en değerli seçim vaadini bunlar veriyor,0
103,bu fikre saygı duyan ve destekleyen herkesi imzaya davet ediyorum desteklerinize ihtiyacımız var,0
104,çocuktan al haberi diye programlar var paralı ailelerin format gereği herkesi güldürmek için programladığı çocuklar,0
105,iyy pis abaza,1
106, benfica yla bir problemim yok problemim olan kişiyi herkes biliyor kulübü seviyorum,0
107,sen hala buralarda mısın lan tirrek — he kardeeş nxsnnssnns,1
108,dostsuz dünya olmaz imiş dost duasız kalmaz imiş dostun duası,0
109,ilahi adalet diye birşey var,0
110,hay amk ya nerden selam verdik,1
111,desteklediğin barzo gibi senin de karakterin bozuk,1
112,yediden yetmişe öğrencisinden hocasına koskoca bir ailenin sahiplenişi ve kenetlenişidir cerrahpaşaduruşu,0
113,sınavdan önce bira içmek ders çalışırken ezberlediğiniz şeyleri hatırlamanıza yardımcı olur,0
114,şu kafamdaki soru işaretlerini çözemeden ölürsem emin olun ki her gece rüyalarınıza girip girip hayatınıza sıçarım,1
115,vay şaşkoloz  vayy,1
116,görmeyeli çirkinlesmişsin orosbu evladi,1
117,aynen yavşak yine başka kıza aşık olmuşsun çok seviyormuşsun iki gün sonra arkasından orospu dediğini duyar gibiyim,1
118,sn cumhurbaşkanımız genel başkanımız grup konuşmasına başladı haftamız hayırlı olsun,0
119,domal bakiyim amina koydumun orospu seni yarragimi boyle amina kokune kadar sokup sokup cikartarak sikerim orospu ht,1
120,zehra gıbı olmak istiyorum tek ayak üstünde kırk tane yalan söylüyor,1
121,sema için sürekli ya aslında dışarda böyle değil diyolar sayın andaval yorumcular kimse oradaki gibi değil zaten,1
122,sen çok fırlama bı kızsın tuba,1
123,bilgisayar bulamayınca hesabı kapatamadık gitmeden de seçim sürecinde burada olmayacağımız için kişilere değil özgürlük ilk,0
124,aay götüüm sikik karı,1
125,mert kesinlikle ergenliğine yeniliyor ergen olduğu için son sozü kendi söylemek istiyor ergenleri sahneden alalım aq  yemekteyiz,1
126,fatih terim stadyumunda gerizeka tudor yüzünden mağlup olmak bir ironi örneğidir,1
127,kucağımda yeğenim varken gördüğüm ilgiyi normalde görmüyorum bu kızlardan  o kadar çocuk seviyorsunuz madem işi yokuşa sürmeyin,0
128,sayfasını bıraz arastırınca gs sevdalısı çıkıyor bunlar herkesi kendileri gibi şerefiz sanarlar,1
129,herkes de oğlu  okuldan gelince 5 dk da ana yemek cikariyor be  hayır o saate kadar diziye mi daldiniz,0
130,içimde öyle güzelsin ki onu kirletmeyeceğim seninle,0
131,bok vardı sanki ne geliyon,1
132,şu insanları üzmeyin sıçarım şarap çanağınıza,1
133,adalet duygunuzmantığınız insanlara olan yakınlığınıza göre değişiyorsa üzgünüm ama siz adil değilsiniz,0
134,haziran ayı içinde yeni macbook modelleri tanıtılacak şu sıralar bir bilgisayar almayı düşünenler biraz beklesin derim,0
135,bangtan ile başarılı ve gururlu hava sahası mümkün,0
136,kübra makyaj temizleme kremini 6 7 kez el kremi olarak kullanmış manyak,0
137,bu adam ne kinaye yapabiliyor ne kinayeden anliyor almis 3 tane andaval arkasina,1
138,lutfen artik su sosyal medyada olmadiginiz biri gibi davranmayin cok embesil duruyosunuz,1
139,bi de başımıza bu yarım akıllı karacahil zırcahil bezirganları çıktı,1
140,babasına süpriz yapan aşifte kızı ,1
141,sen dua et bu gerizeka tudora karşı puan vermesin bizim hamsi,1
142,kanka annenleyiz ateşini al demiştin,1
143,günaydın diyin lan köleler ezik itler,1
144,halil sezai gibi berduş halil sezai gibi dertliyim,0
145,çok beklersiniz piç eniği piçler ,1
146,işten evime geldim duş aldım şarap ve müzik eşliğinde kendime yemek yapıyorum,0
147,yatırır götünü sikerim hacı,1
148,• genelde kırgın olduğu kişilerle muhatap olmaz,0
149,aptal oç rüyamda ne işin var,1
150,aşağılık yaratık ağzına geleni söyle sana söylenince duyar kas sahtekar dallama,1
151,dün gece kitap okurken uyuyakalmışım en son kaldığım yeri eşim işaretlemiş evlendiğimiz insana neden eş denildiğini anlıyorum,0
152,kitap fuarı öyle bir yerde olacak ki  kimsenin gelebileceğini pek sanmıyorum şehrin dışına doğru yer yapmışlar nerde bunun heyecanı,0
153,dönme artık istemem senin o kahpe kalbini,1
154,polemik yaratıp planlı programlı tartışmaları ile gündeme gelip spnra gururla bunu paylaşanlar ektedir,0
155,angut sana kemik atan oldu mu profil resmi değil fotoğraf,1
156,ayy canım iremim ne kadar da güzel olmuş yaa çok tatlısın be zalimin kizi,0
157,vizyon yok kardeşim vizyon yemekteyiz,0
158,sana noluyo lann apacinin avukati misin,1
159,evet normal karakter sahibi insanda bu video intihar sebebifdir lakin bunlar karatersiz orospu çocukları,1
160,doğa ranta kurban olmasın ,0
161,umarım bir gün sizin çocuklarız da demokrasi aşkı ile yanarlar,0
162,kim bu gerizeka kuzeniniz,1
163,erkeğe uzayda kadın var demişler uzay aracı icat etmiş uçmuş,0
164,tayyip dedee diye seslenen bir çocuk ve efendim diyen dünyanın en tatlı dedesi,0
165,bi gavur karısı aldım güzel çalışıyo,1
166,araba kullanma hakkı verdio sırada italyalı astronot bayan samantha cristoforetti uzayda,0
167,harbi gerizeka ya tam embesil,1
168,hâla arkamdan laf yapıyor her gerzek beyinli hiçbiri karşıma çıkacak kadar erkek değil,1
169,murat çok tatlısın ahahahahaha,0
170,sıkılınca en sevdiğim parçaların olduğu müzik listemi bile siliyorum seni mi unutamıycam,0
171,ulan dalyarak sen içerde değilmiydin  ne biçim adalet var arkadaş bu ülkede bu piç hapis cezası almadımı,1
172,senden bi bok olmaz,1
173,her gün ölüyor o pislik ,1
174,orospu çocuklari siz orospu çocuğusunuz hayvanlar,1
175,gerizeka tudor,1
176,şevket çoruh ile özge turna evleniyor,0
177,hahahah orospu çocuğu ya götünden kan alacaklar şimdi,1
178,sanane lan adam çekmiş koymuş beğenmiyosan izleme tırrek,1
179,türkiye’nin en kapsamlı öğrenci olimpiyatı olma özelliği taşıyan güngören bilim kültür sanat ve spor ligi,0
180,esin iyi misin lan şerefiz,1
181,ulan ilk yarı 20 geridesin ikinci yarı değişiklik yapmıyorsun yav çıldıracam yav senden hoca moca olmaz ananı bacını,1
182,önce yürümeyi öğrensin puşt,1
183,kerhane çocuğu cevap versene,1
184,zaten alihan da sürekli öyle davrandığı için zeynebe tutuldu,0
185,bayadır her şey yolunda mertle mutluyum  babamla tartışmıyoruz  okul güzel,0
186,bizim türk insanı kadar futbol fakiri beyinsiz başka millet yokturtudor sıfırdan takım yaptı liderhala balon fatih terim isteniyor yazık,1
187,nil in babası sinan a serefiz dedi bak amca diyom beni deli etme ağzını yüzünü dağıtırım,1
188,hafif domal da sokarım amına götüne yaragımı,1
189,azgın kız pelin,1
190,ne olduğun belli neyini anlamayacam andaval,1
191,danla bilic e tavuk diyen amca,0
192,herkesi kör âlemi sersem sanıyor sığırlar,1
193,yarın makyaj yapayım da farkı görün siz djdnjshj,0
194,endeavor dünyasında güzel gelişmeler devam ediyor girisimcilere tebrikler destekcilerimize teşekkürler  ,0
195,defol hain bücür,1
196,hastasını mağdur etmemek öğrencisini hayallerinden mahrum etmemek hocalarını özel hastanelere bırakmamak ülkeyi bilimsiz,0
197,ebeni siktir bana akşam akşam,1
198,orospu çocukları yine geldikleri gibi gitmişler,1
199,dileriz tez vakitte israil e de demokrasi gelsin,0
200,çocuğunuzu seviyorsanız ona bir kitap alın eğer çok seviyorsanız iki kitap alın,0
201,yüksek lisansda başarılı olduğumu söyleyemem ama yüksek lisansı bitireceğime yürekten inanıyorum,0
202,sındırgı kadın kolları kongremizde tekrar seçilerek başkanlık görevine devam eden nagihan eroğlu ve yönetimini tebrik ediyor,0
203,şu an bannerımdaki söz çok özel bence ve ait olduğu şarkı da the 1975  paris,0
204,senin şu saatten sonra yapabileceğin tek şey kudurmak yelloz seni,1
205,izmirkuşlaramezarolmasın gediz deltası 3sayfa haberlerinde yer almasin,0
206,lavuk kızı öyle bi yiyo ki dönüp baktı ketçap mayonez isticek sandım aq,1
207,bacak kadar boyun var türlü türlü huyun var seni gidi dili fitne fücur birazda bücür,1
208,nerde sikik bi is var beni buluyo mk,1
209,arka masadaki eleman siktir git burnunu sil fırk fırk çekip benim sinirimi bozma o burnuna sokarım şu elimdeki fincanı,1
210,siz demiyor musunuz saray gibi otel gibi özel hastaneler var ama hiç biri cerrahpaşa değilbizim binalarımız eski olabilir,0
211,ne yapiyim amina qoyum dizmi cokuyum karsinizda,1
212,her kesimin iyi tanıdığı perinçek in  bu kadar çok konuşması sistemin kimlerle ittifak ettiğinin örneğidir,0
213,işsiz olup tek yaptığı dm den kızlara yürüyen yavşak tipli andaval olmaktansa  sağlıklı kültürlü zeki ve oturaklı olurum,1
214,bir güzel kız yüzünden çıldıracağımm,0
215,salak ezik  sen tam bir ağlaksın,1
216,trt1 e bak beni bloklamış benim vergimle beni blokluyor orospu çocukları,1
217,habertürk’te idris adında baş parmağını  sallayarak çıldırmış bir dallama var,1
218,orospu catelyn,1
219,bademli çikolata yerken fındık tadı almış gibi bir gün,0
220, senin aq pezevenk profilim senin yüzünden genel ev gibi oldu,1
221,sinirlenince ki ben çok sinirli bir insanım bts i izleyince sinirerimi aldırmış gibi hissediyorum çikolata gibiler,0
222,çektirdiğim fotoğraf erkek gibiymiş dönek olup kırma olacağıma sözümün eri delikanlı gibi kız olurum daha iyi,1
223,lanet mi okusam sana,1
224, üşenmeden saydım arkadaşlar  bi takipcim gün içinde 20 den fazla twit atmış sanki götürü almış mübarek,0
225,kendi karga burnuna bakıp sonra millete bok at istersen aptal bücür,1
226,kız fena yım azdım bak kötü sikerim,1
227,kıyamam sana amk  kızı,1
228,yaa senn var ya harikasın,0
229,amk admin kılıklısı,1
230,konyanın da pek farklı olduğu söylenemez bence ilkbahar ikizler burcu,0
231,off taş gibi gögüsleri var yollu bu fahişe,1
232,türk duygularını kabartacak her türden dizi film belgesel vb izleyen herkes vasat değildir,0
233,öküz gibi sismissin ne evirilir ne çevirilir nede bu siskoluk heryerin sarkiklikla sıkılırsın,1
234,tavuk neden güveçte olmuyormuş onu anlamadım ne alaka niye olmasın,0
235,oh harika ben de karşıyaka’dan alsancak’a geçiyorum çok mutluyum hiç dönesim yok istanbul’a,0
236,nasılsın kardeşim sesin çıkmıyor hiç,0
237,1 haftadır ders dinleyemez ders çalışamaz olduk nitelik çok yükseliyor sanırım,0
238,sabahtan gördüm seni çok aşifte geldin bana,1
239,ana babayaakrabayayetimlere yoksullara yolcuyaelinizin altındakilere iyilik edinnisa 36,0
240,cerrahpasadurusu hastasıyla esnafıyla öğretim görevlisiyle öğrencisiyle personeliyle kırmadan yıkmadan parçalamadan büyüyor,0
241,ulan pezevenk ücretini de tl al o zaman yerli arabaya bin yerli telefon kullan,1
242,çok az makyaj yapma isteğim fırçayı elime alana kadar geçerli,0
243,fen okuryazarlığı ve yaşamdaki kimya ,0
244,chp genel başkanı ankara’dan istanbul’a başlattığı 25 gün süren ‘adalet yürüyüşü’,0
245,takimi her mac farkli fantaziler kurup rakibi bir kez izlemeyen bir sizofrene emanet ettiginizin ne zaman farkina varcaklar,1
246,sen de bir malsın gerzek,1
247,hocam football manager için de biz çözüm bulalım,0
248,ne istediğini bilen insanlara özeniyorum ya ben seçimlerimde düğün öncesi alışverişe çıkarılmış huysuz muhafazakar gelin gibiyim sıfır karar,0
249,bayılıyorsunuz sizi zerre ilgilendirmeyen konulara karışmaya hep konuşmak kaos çıkarmak insanlara karışmak,0
250,lan at kafali dün statta kim vardi çarşi yokmuydu,1
251,ilk önce nasıl yazılacağını öğren sonra çağır fenerli değilmi hepsi keko,1
252,un tasirken mi jeep ile mi senin o ufak beyninle yapmaya calistigin algiyi sikim sisko domuz,1
253,orta okul arkadaşımı buldum çok mutluyum,0
254,sema yemin ediyorum ne hallere düştük oturduğumuz yerden sakatlanıyoruz,0
255,insan yaşadığı her anı her duyğuyu tecrübeye çevirirse başarılı olur,0
256,içinde sen varsın,0
257,şu iki hırbo bilsin diye kolay şeyler sordular aq,1
258,sinirlenince bile güzelsin be sultanım,0
259,küçük hanımlar küçük beyler sizler hepiniz geleceğin bir gülü yıldızı ikbal ışığısınız yurdu asıl aydınlığa boğacak olanlarsınız,0
260,sizi çok seven bir kadını kendinizden nasıl nefret eder hale getirirsiniz,0
261, beyaz tv gibi bir kanaldan etik değerler yüzünden kovulmak büyük başarı istertebrikler,0
262,danla keşke saçlarını her zamanki gibi dalgalı yapıp zarif bir kalem elbise gitseydin,0
263,sosyetenin cilalı mermer taşlarında büyüdün sanki amcık,1
264,bebeyim şimdi sen bana gerizeka olduğunu söyle bende şaşırmış gibi yapıyım hadi,1
265,yahu 10 yaşında çocuk gözünde mavi kemik gözlük saçlar yanları böyle kısa üstler uzun atmış arkaya ucunu sarıya boya,0
266,en büyük sorun sensin bi siktir hit,1
267,bizlerden gerek iş hayatında gerek sosyal hayatta desteğini hiçbir zaman esirgemeyen bize ekip ruhunu ve ekip çalışmasını öğrettin,0
268,algı yapıyor dümbük takılmayın fazla gidecekler rahat olun,1
269,doğum günün kutlu olsun güzel arkadaşım,0
270,korkudan nasılda silmiş tweeti ibne,1
271,az önce önümüzden bi adam masturbasyon yaparak geçti ama bu saatte dışarda ne işimiz var değil mi,1
272,naber lan tırrek yaşattığını yaşamadın mı daha,1
273,ben bu admini çok sevdim çok tatlı ya,0
274,samsunlu aşifteyüreğin varsa gizli numaradan değilkendi numarandan ararsinemniyeti boşuna meşgul etmeyelim,1
275,sg pislik mxkmdmxmxm,1
276,bronshit ve yatalak oluşumdan 2 kitap bitirdim hasta olmasam okumayı unutacaktım ne de olsa sosyal medyanın köpeğiyiz,0
277,survivor2018 hilmim yaa bu kadar tatlı olma,0
278,orospu çocuğu yemediniz ben napiyim,1
279,survivor2018 survivor da gönüllülerin en iyisi kim büyük anket,0
280,her hale şükür gerek,0
281,hayırlı geceler,0
282,uzun boy şık giyim demişsin isteklerinin kalitesi  — etrafa alıcı gözle baksamda aşifte kızlar kapıyo,1
283,doğduğunda kulağına 3 defa kahpe diye mi fısıldadılar,1
284,transkripti görelim bakalım var mıymış öyle bir ders,0
285,tudordefol kahpe tudor istifa,1
286,beni sersem ediyor bunca acı,0
287,kendimi zorlayarak bir mekana geldim yine salak tiplere bakarak gülüyorum eğleniyorum ama müzik ile alakası yok,0
288,ben öğretmenlikten vuruldum diyor sonra da ben öğretmenim diye cümleye başlayıp acıtasyon yapıyor,0
289,allah allah nerenin adetiymiş bu yav abazza mı bu anadolular niye hanımlara yanlıyo,1
290,bana masturbasyon yaparak vido atarmisin,1
291,tam bir orospu çocuğusun onu anlamadiktan sonra niye dinliyorsunki geber amq,1
292,biz çok güçlü karar mekanizmasına sahip birer bilgisayar gibiyiz beynimiz düşüncelerimizden komutlar alıyor,0
293,kariniza sevgilinize makyaj yaptirmiyorsunuz sonra full makyaj süslü püslü kadınlarla aldatiyorsunuz valla ben bir,0
294,hepinizden nefret ediyorum paçavraucubeaşifteşerefsizin önde gidenleri fotoğrafı,1
295,yarışmacı ülkelerden oylama,0
296,ne fenası aşifte olacaksın,1
297,bu defa görüş sonrası sizlerle önemli şeyler paylaşcam,0
298,ayrıca unvanı üniversitelerin vermesi halinde üak ta başarılı bulunan adaylar doçent kadrosu buluncaya kadar unvanın verdi,0
299,tudoristifa buraya kadarmış beyinsiz tudor artık siktir olup gidebilirsin,1
300,hemen simdi tudor denen orsu evladini kovmayan yönetimin amq bize oturup kahpe kari gibi sakiz çiğneyen teknik adam lazim degil,1
301,elif yokluğumu fırsat bilen ibne geldiğim zaman ağzına özel olarak sıçacağım,1
302,profesör gibi poz verin dedi ve sonuç geleceğin öğretmenlerine merhaba deyin,0
303,yine bir andaval turnikeden geçmeyi beceremediği için tramvayı kaçırdık hem de 5 saniyeyle falan gel de bu ülkede yaşa,1
304,kendine yakışır şekilde hakkıyla ses çıkaran bir duruştur,0
305,yalan uydurmak iftira atmak kendi yaptığı arzızlığı karşı taraf yapmış gibi göstermek bu alçak zihniyetin yol haritasıdır,1
306,bu erkeklerin çok büyük çoğunluğu instagramdan dm atıp tanışıp takılacaklarını sanacak kadar ultra gerizeka ve mal zavallılar,1
307,abi bu aleksi bi foto sahnesinde bi de nezarette umumhane dedialeksi senin ben ağzına sne kadın düşkünü çıktın,1
308,gerizeka insanlar acayip mutlu aq imreniyorum,1
309,bi duruşu var,0
310,şişko yanaklarımı yoketme hilesi neydi acil biri söylesiin,0
311,fizikçi geldi işte fenerliler yine iyiler falan dedi aziz yıldırım geliyormuş falan  abi azizi yıldırım ne ya,0
312,seni bize veren allaha şükür sonra doğuran o güzel annene dua ediyorum iyi ki varsın,0
313,hanımcı pezevenk,1
314,içine girmiş karının pislik,1
315,şu müzik eşliğinde ulaşı bekliyorum,0
316,hshshshddhdh gerizeka yaa,1
317,anani sikerim goskel sampiyon olamayacaksin oruspu cocugu simarik kahpe cocugu,1
318,ben seni seviyorum,0
319,puşt deyince aklına kim geldi sizce,1
320,takipçilerimin 90ı erkek profil köy kıraathanesine döndü biraz sanat sepet falan filan paylaşımı yapacağım artık,0
321,ben kitap okurum deli derler bu saatmi okumanın saati yoklakin en akla giren saatler neden şarkılarşiirler gece yazılmış,0
322,kes lan konsomatris suratlı,1
323,elli bin kadın ve çocuk fenerbahçe taraftarına en güzel gollerinden birini armağan ediyor,0
324,pazar çok kızışmış biz pılımızı pırtımızı toplayıp gidelim en iyisi,1
325,bundan sana ne  tasası sanamı düştü dalyaprak  zirzop,1
326,hay allah senin çenesini kapatsın artık ya bu kadar angut bir adam olamaz,1
327,size spine breaker şarkı sözlerini bırakıyorum,0
328,dördüncü gün kanka sevgili yaptım kendime,0
329,ulen 2 dakika da döndünüz eskiden katil dediğiniz şimdi kurtariciniz bu kadar dönek olmayın,1
330,kalk siktir git okulunu oku amk,1
331,çok sıcak ve bu makyaj 10 dakika sonra akacak,0
332,günaydın seksi karımın potansiyel sikicileri hayattan zevk almasını bilen benim gibi gavat ruhlular,1
333,bir kere kuzenimin düğününde alçak bir kuaförün eline düşmüştüm bana makyaj yaptı sonra düğün yerine gittik dedemin elin,0
334,konuşuyosun tabi gerzek eey almanya ne hadi utancından yerin dibine gir daha da çıkma,1
335,allah belanı versin mertcan senin ve senin gibilerin hepiniz yokolun inşallah,1
336,80 ‘den 13 tl’ye inen bir pantalon  aldım çok mutluyum,0
337,yüzümde sıfır makyaj ve uykulu gözlerherşeye rağmen paylaşılmaya değer bir fotoğraf,0
338,takımı liderken kovulan ilk gerizeka olmak üzere,1
339,sizdeki kürt düşmanlığı kadar yoktur embesil hamam böcekleri,1
340,ahlaklı hayırlısı olsun herkes için,0
341,insanlık istese neler başarır mirim felsefesiyle olmazları oldurtan 10 film,0
342,bunlar ile yanyana gelen bu dediklerini yapamaz ayyaş ile oturan ayyaş kalkar,1
343,mustafa bu çocukların başına ne geldiyse senin suçun ne cenabet bir adamsın ya hala rivrivriv sana fikrini sorduk mu,1
344,şu herkes yapıyo ben yapınca nolmu cümlesini söyleyen her kim var ise gözümde direkt aptal orospu çocuğunun teki oluyo ya,1
345,birsen  bugün de dün de ve yarında survivorda olması gerektiğini her gün bir kez daha ispat ediyor,0
346,az önce porto maçına bilet geldi aşırı mutluyum lan,0
347,gardaşim dün habertürk te bu proğramı izledim şerefiz aytuğ şerefsizliğin kitabını yadıproğramda,1
348,kendinizi bir bok zannediyorsunuz ve bu benim canımı sıkıyor,1
349,istanbul büyükşehir belediye meclisinde konsolide 426 milyar tl büyükşehir bütçesini görüşerek kabul ettik,0
350,öyle mi kevaşe ne üzerinden yorum yapalım kıçındaki donun lastiği bile dolarla alınıyor büyükbaş,1
351,ne yalaka  çıktınız amk gelmeyin amk,1
352,cüce kız tesellisi ya parayla mı yazdırdınız,1
353,gayri resmi mektup iyi tanıdığımız insanlara,0
354,parayı aldin mi ilhan dan selimtl olarak alsaydin şikeci pezevenk seni,1
355,amerikademokrasi vaadiyle vietnam ı işgaletti35 milyon ölümilyonlarca sakata rağmen savaşı vietnam halkı kazandı,0
356,kim bu gerzek bu gerzek ile ne konuşuyorsunuz bu alçak ırkçı faşist ve aynı zamanda kışkırtıcı,1
357,ulan çok iyi olmuş,0
358,buna makyaj diyen maasli trollere anlatayim bir insan alnina darbe aldiginda once alni siser morarir,0
359,ya lanet olsun ben online oyun oynarken youtube veya instada video izlemeyin ping atıyo aq,1
