,message,cyberbullying
26,den yana formamızı terleten sadece başarılarıyla değil örnek sporcu kişiliği büyük beğeni kazanan yuto nagatomo kulübümüze verdiği emekler teşekkür eder bundan sonraki kariyerinde başarılar dileriz ,0
27,kanka ben netflix sayesinde ingilizce ogreniyorum netflix yerine bize amcamizla sikismeyi ogreten turk dizileri yasaklansin ,1
28,öldürür ,1
29,zaman para vermeyeceksin kardeşim he demek para verdin izlemek istiyosun zaman şikayet etmeyeceksin eşcinsellik insanların tercihi buna kimse karışamaz saygı duymak zorundasın cinslik içeren film dizilerde zaten uyarıları bulunuyor ,0
30,gay düsmani mustafa ,1
31,zlemek istemeyen abone olmaz açık sahneyse elinde kumanda sardırabiliyorsun eşcinsellikse tarz izleme birsürü film dizi var üye olma olur biter üye olanada kimse karışamaz neticede özel bir platform kadar güzel dizi projeleri insanlar izleyemesin ,0
32,izleme zaman dalyrak ,1
33,türk televizyon dizileri tecavüz kadına şiddet silahlı çatışma evlilik dışı ilişki ensest dön bi kendi kıçına bak insanların para verip izlediği şeylere bok atmadan önce ,1
34,zleme be amına kodumun koyunu seni ,1
35,fiyatı fazla geldi gerizekalı ,1
36,ezik orospu evladi izleyen ister ucretli bir uygulama ,1
37,zleme ozaman yarram bi karı görsen düz yokuşa tırmanırsın burda cinslikden bahsediyon sie ,1
38,zehirin aktığı yer sizin beyniniz ağzınız farkında değilsiniz kadar cahilsiniz cehaletinizin farkına bile varamıyorsunuz ilkel insanlarsınız ,1
39,hayatında para vermeden seks yapmamış çevresi eğitimsiz cahil tipsiz insanlarla dolu cinselliği kedi köğeğin yaptığı seksten hlice olan çomarlar gelmiş cinsellik zehirdir diyor yapamadığınızı kadar bli etmeyin bari ezikler yazık yav bunlara ,1
40,aq ayık gezmezler bulduğunu skerler abazalıktan cd eşcinsellerle olurlar sonra netflix yasaklanabilirmiş sktrn gidin yavşkar ,1
41,sus lan yavşak izleme götüm zaten fakirlerin netfilixi mi olucak amk yüzyıldan kalma kafayla yaşıyorsunuz ,1
42,satın almayın amk ,1
43,bir dur dinle ademoğlu geldin gidiyorsun ,0
44,hepsinin ötesinde baskıcı dönemde alınan kararların baskıcı iktidara hizmet edeceğini düşünüyorum yasa özgür bir ortamda getirilmeli ,0
45,motorsikletin yanından geçen motorcu oluyor amk gün sonra kaza yapıyor arabalara suç atıyor instagramda bir tane düzgün motor kullanan video yok ,1
46,benim bir korkum yok konuyu çarpıtmayada gerek yok olursa olsun çocuğa kadına uzanan diller ler toplumdan temizlensin ,0
47,başkalarına yapılan hukuk dışı ahlak dışı olaylara sessiz kalıp görmezden geldiniz size yapılınca ortalığı ayağa kaldırdınız ,0
48,doğduğum günden tam yıl sonra yine aynı tarihte mezun oldum bundan sonra kutsal sayım dur ,0
49,komiksin burun deliklerini kapat gülerken corona var ,0
50,kahramanlar pelerin takmaz ,0
51,kıbrıs şehitleri dominik caddesi ni yayalar birleştirdik yaya geçidi üzerine zmir in tarihi köklerinden gelen figüratif desenler işlendi pasaport un dalgalı kaldırımı bergama kilim halılarının eli belinde motifleri talatpaşa meydanına yakıştı ,0
52,tugay turan hocamız güzel şekilde emek vererek akademide yardımcı araçları biraraya getirdiği bir bilgisel hazırlamış teşekkür ederim lerine zihnine sağlık tugay hocam ,0
53,sınavda elde edeceğiniz puan dilimine göre diploma notunuzun yaklaşık kaç olması gerekir yerleştirme sırasında geriye düşme riskini ortadan kaldırasınız ,0
54,kişisel verileri koruma kurulu sosyal medya uygulaması tiktok hakkında veri güvenliği açığı diaları üzerine inceleme başlattı ,0
55,umblikal kord göbek bağı iki atardamar bir toplardamardan oluşuyor rahim içinde bebeğin ihtiyaçları kordonla sağlanıyor ,0
56,kütüphanemizdeki kitapların tam ekran fotoğrafını yorum olarak atan kişiye çekilişle görseldeki seti hediye ediyoruz ,0
57,ülkenin tarafında topraklar işleniyor sonbahara fidan dikimine hazırlık yapılıyor erozyon nedeniyle tek bir gram toprağımız kaybolmasın orman teşkilatı çalışıyor yıl sonra dağa yazılan ogm yazısını görürseniz ağaçları kesip ogm yazmışlar demeyin sakın ,0
58,sızıntıyla ortaya çıkan görsellerin grafik detayları kötüydü oyunculardan gelen tepkileri dinleyen firma oyun üzerine fazla çalışacaklarını iyi görslikle döneceklerinin altını çizdi ,0
59,sıcak yaz günlerinde vatandaşlarımızı sokak hayvanları kapılarının önlerine bir kap su koymaya davet ediyoruz ,0
60,şartlar uygun ben değilim ,0
61,tam pencere önünde televizyon karşısında yarım saat uyuyakalmalık hava var an ,0
62,şuan aklımıza gelen ilk şarkıyı yazalım bakalım neler çıkacak ,0
63,siksokçular anlık ,1
64,hayatımda gördüğüm güzel haberlerdne birisi azından artık instagramda cemre solmaz azra gül yaren enes batur vs görmeyeceğim ,0
65,hepsini kapatın bütün toplumun ahlakını bozdular ,0
66,akp li oyuncunun ikiyüzlülüğü ,1
67,teşekkürler geri bildirim bekliyoruz halde ahhütü takip edeceğim ara ara size hatırlatacağım ,0
68,hastaneye yetişemeyen kadının otoparkta ebe yardımıyla doğum yaptığı anlar ,0
69,birisi tarafından delice sevilmek size güç verir birisini delice sevmek cesaret ,0
70,koyun dedikleri tarafından senedir yönetilen koyun kadar aklı olmayan bir kesim var ülkede ,1
71,büyük cesaret helal olsun ,0
72,patlamanın yaşandığı bölgeye yakın yerleşim yerlerindeki insanların evlerine girip kapı pencerelerini kapa ,0
73,hayatta kalabilmek para uğruna insanlar nerelerde canlarını hic sayarak çalışıyor lah yardımcıları olsun ,0
74,allahım sen yaralılara ailelerine yardım et ,0
75,geçmiş olsun umarım kimsenin canı yanmamiştir ,0
76,havai fişek fabrikası patlamış rabbim içerideki çalışanların canını korusun inşlah ,0
77,patlama sesi korkunçtu sakarya sesi duydu sarsıntıyı hissti atom bombası bir etki yarattı ,0
78,can kaybı olmaması tek temennim ,0
79,sakarya nın hendek ilçesinde havai fişek fabrikasının patlamasında can kaybının olmamasını temenni ediyorum ,0
80,sakarya havai fişek fabrikasında patlama çeride kişi var ,0
81,umuyoruz tek bir canımızın dahi burnu kanamaz ,0
82,sorumlu herkesin canı cehnneme ,1
83,sen olarak dünyaya gelmediğimiz şükrettik bugün ,1
84,sey degil mi herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan kat ahlaksiz hareketler yapan kişi ,1
85,neyse gidip yuvasını yıktığım adamla öpüşeyim ,1
86,sey degil mi herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan kat ahlaksiz hareketler yapan insan ,1
87,herkes ece erken laf söylüyor ahlak bekçiliği yapan ahlaksız sizin yaptığınız an siktir etsenize böyle insanları ,1
88,adam boşanır boşanmaz tekne turlarında fink atan yalandan ayrılmış numarası yapan utanmazlar ,1
89,tek kelime rezilsin ,1
90,ekrandan herkese ahlak bekçiliği yapan ahlaksız ,1
91,kime isterse gitsin istiyorsa yapsın konuşmaya değecek başka bir şeyiniz yok ,0
92,ece erken sevgilisi su altında saman yürütmüş bea ,1
93,yorumları yazanlara merak ettiğim soruyorum ahlaksız olan bir tek başkasının suçu yok ,0
94,kadın ağlayarak malı götürenlere güzel örnek ,1
95,annen baban seni büyütüyor yedirip içiriyor kadar emekten sonra sen ahlaksız oluyorsun tivit kadar ,1
96,kadar çalişirsak kadar iyi ,0
97,ahlak bekçileri size ,1
98,stediği yaşar hayatını olumlu olumsuz sonuçları kendisi yaşayacak ,0
99,insan kadar çirkinleşebilirin örneği buyrun ,1
100,ee boşuna dememişler ahlak bekçiliği yapıyorsa ahlaksız odur ,1
101,adamda tip desen yok fizik desen yok adamın neyini sevdin ,1
102,türkiye nin gelmiş geçmiş büyük eskortusun ,1
103,utanmazlar ,1
104,milletin dedikodusunu yaparken paranın dibine vurmasını biliyordunuz mletin ahlak bekçiliğini yapmasını biliyosunuz ,1
105,insan kadar çirkinleşebilir ,1
106,ece erken önyargılı davranıp onu sevmiyorsunuz oysa tanısanız nefret edersiniz ,1
107,namustan söz ediyorsa namussuzu dur ,1
108,yuva yıkıp bir aileyi dağıtan kadın ,1
109,cahil alt kültür adam ,1
110,ünlü kadınlar yuva yıkar hayretbişey arkadaş normal bir ünlü ,1
111,aq midesizsiniz ,1
112,vazgeçtim inan kendimden çoktan ,0
113,gömülen gömülene unutulan unutulana kayıplara karışan karışana ,0
114,yaş kaç olursa olsun sözün sesin kalemin yüreğime dokunur ,0
115,zamanında severek dinledim ,0
116,sago benim dilsiz kalbime dil dikenli yollarımdaki çicek anlatmaya çalışmadıklarıma kelimelersin sagopakajmer brnbzkt bernik ,0
117,uçur beni rüzg toz taneleri burdan uzağa doğru ,0
118,benim gözlerimden bak dünyaya ,0
119,bugünüm yarınım bi yanım karambolde ,0
120,beni mutlu edecek ,0
121,mektupu al derdimi gör ,0
122,halini sor er geç yollar bir ,0
123,ah zaman ahir ,0
124,şuraya girince kendimi tutamayıp tweetleri beğeniyorum ,0
125,oysa istemez gün ilkbahar günü ,0
126,şiirler yazmak izleyip kırmızı gülü ,0
127,galiba bütün olanlara dayanamam hazırımm ,0
128,sen giderken adımlarını sayarım heyhat ,0
129,uzuyor uzadıkça bitmiyor bitse sevimsiz akşamlar ,0
130,huzur özür dilemeli bana uğramadığı gün ,0
131,uçur beni rüzgar ,0
132,sana küfür ederim ,1
133,bizi saten sonra mutlu edecek tek konseridir ,0
134,kah çıkarım gök yüzüne içerim saki yi kah inerim yer yüzüne çekerim zikrimi ,0
135,fadeler sözlerden seslidir sago sessizlerin sesidir ,0
136,güvendiğim dağlara kar yağıyor ,0
137,mutlu oldum ,0
138,sal yaralı balıkları gitsin misina artık gergin ,0
139,ster istemez şeyim sende rehin ,0
140,yanlış bir kar ,0
141,seviyorum ,0
142,utanmadan konuşuyor şerefsiz ,1
143,satılık herif ,0
144,çim hasret yeri küheylan kaldı bi kemik bir deri ,0
145,katil kimsesiz gariban bir canın canı alan zalim ,1
146,yazıklar olsun olsun senin insana ,1
147,allah belanı versin umarım şekilde can verirsin ,1
148,kaltak tutuklansın ,1
149,kendinden utan şerefsiz ,1
150,insan olamamış bir mahluk ,1
151,allah belanızı versin ,1
152,sözde akademisyenin ahlaksız vicddansız ,1
153,arabanın arkasına bağlayıp sürükleyeceksin sonra kemiklerini kırıp yatalak edeceksin ,1
154,hatta insan bile değil ,1
155,sen vahşi bi yaratıksın ,1
156,pis suratsız ,1
157,sen okumuş barbarsın ,1
158,çoluğun çocuğun ezilsin senin ,1
159,sen bir katilsin şerefsiz haysiyetsizsin ,1
160,haysiyetsiz iğrenç mahluk ,1
161,vicdansız allah senin belanı versin ,1
162,allah ın belası insan müsvdesi ,1
163,sen insan olamazsın ,1
164,sosyal medyadan çevresinden gelecek türlü linci hakediyor ,1
165,hayvan katili ,1
166,allah belanı versin vicdansız ,1
167,bunu yazan şerefsizler kaçacak ,1
168,bugün birkez gurur duyuyorum fenerbahçe li oldugum ,0
169,bela musibetsin ,1
170,türk futbolunun foseptik çukurlarının şikeden dolup patladığı gün ,1
171,yıkmaya gücünüz yıkıldığımızı görmeye ömrünüz yetmez ,0
172,onurla gururla şampiyon fenerbahçe ,0
173,sen fetö nün büyük destekcisisin ,1
174,zaman olduğu dik durdu hainlerin onu hedef almalarına rağmen yıkılmadı ,0
175,aşkınla sevginle bizler delirdik uğrun ölmeye yeminler ettik cefalar çektik canlar verdik ,0
176,ftiracı namussuz ,1
177,mutlu size ,0
178,sana deniyor hamsi hırsızlık yapmadan ziyaret bedava ,1
179,unutmadık unutturmayacağız ,0
180,yıkmaya gücünüz yetmez ,0
181,sen yüzle bir başkasını eleştiriyorsun ,1
182,sen katilsin namussuz ,1
183,rabb im sağlık shat uzun ömürler versin inşallah ,0
184,cumamiz mübarek olsun ,0
185,sizin yalanlarınız sizin montajlarını bitmez ,1
186,yi varsın başkanım ,0
187,nanin görüntüleri unutmuşum ,0
188,olay ,0
189,nsan gün yaşanan olayları görüp bildikçe canlının acısını acısı ettikçe mutlu bir hayat arzu etsin ,0
190,söylesene şunları be ,1
191,kendi kazdığı kuyuya kendi düşen enayiler ,1
192,oğlu eşi oldugu belli olmayan erdal çomarı ,1
193,erdalcım boku kürekle yedin ,1
194,fena sıçtın ,1
195,kadın kendini ispatlamış mükemmel bir insan zaten sizin derdiniz başka ,0
196,ayağına sıkacağı na kafasına sık ,1
197,kadına gün biraz hayran oluyorum ,0
198,halkın diktatörü ,1
199,ayağına sıkan bi salakta sensin ,1
200,sen müge anlıyla uğraşabilirmisin müge anlı la ,0
201,telefonun incelenmeyeceğini mi sanıyorsun ,0
202,bence sonuna geldin ,0
203,artık şaban dayın kurtaramayacak seni dallama ,1
204,allah fetsin seni ,0
205,üremesi yasaklanmalı hastalıklı genleri dünyaya saçmasının önüne geçilmeli ,1
206,sözde müslüman haysiyetsiz ,1
207,ayşe asgari ücretle geçen yıl kg et alıyorduk ,0
208,nanmıyor musunuz ,0
209,hesap ortada aşağıda ,0
210,hadi verelim mehteri ,0
211,otomobil fiyatları uçmuş ,0
212,konut fiyatları tavan yapmış ,0
213,bilet fiyatları katlanmış ,0
214,ğneden ipliğe zamlanmış ,0
215,facebook profili şerefsizin ,1
216,hayasızlar telefon numarasını bile vermiş ,1
217,cahil bir kadınsın ,1
218,çomar piç seni ,1
219,yazıklar olsun aşşağılık yaratık ,1
220,acılar içinde gebermeni dilerim ,1
221,ölmek yalvar iblisin oğlu ,1
222,kafana sıkıcam senin ,1
223,öldürücem seni ,1
224,tecavüz edilmeyi hakediyosun ,1
225,şirketimizde yeni bir hizmet vermeye başlayacaz hizmet adı gtü bilmüh ödev projeleri yapılır ,0
226,göktürk göre domatesler parka gidebilir tavuklar oruç tutabilir ,0
227,arası enflasyon seviyesi önemli bir eşik mücadele edemezsek tıpkı önce gördüğümüz hızla yükselir atalet inertia ,0
228,ay önce suriyeli mültecileri göndermekle tehdit ettiğimiz avrupa bize turist göndermesi sınırları açması bakan gönderiyoruz şte öngörü işte vizyon ,0
229,dostlar bin oluşumuza özel resimdeki gördüğünüz pikap toplam takipçimize hediye edeceğiz yapmanız gereken tek tiviti beğenip yoruma arkadaşınızı etiketlemek herkese bol şans ,0
230,sen ibne misin ,1
231,flört ettiklerini bildiğim iki arkadaşımdan erkek olan konuşuyormuş sohbeti yarıda bırakıyormuş falan kız rica ti bir yoklar mısın sordum bende çocuk diyor kızın kafa zehir beni öyle sanıyo muhabbet ilerlerse durumu fark eder ,0
232,instagram açtığım karşıma bikinili bir kadın çıktı utanmazlar ,1
233,önce google gaz fren sağ sol araması yaptım sağınızı solunuzu bilmemek acı ,0
234,babanınn düşmanına sıçayım ,1
235,çevre doğa hayvan koruma şube müdürlüğü kuruldu ,0
236,afrikada bir şehir adı aydın ,0
237,adamın yaptığı büyük bir olay gerçekten ülke yine büyük bir utanç ,0
238,toplumu geriyosunuz şerefsizler bataklar ,1
239,evde herkes tatil bavulu yapıyor ben ödev yapıyorum ,0
240,fenerbahçe başkanı ali koç un mahkemeye verdiği bey nın final kısmı ,0
241,barcelona mutsuz olan lionel messi yeni sözleşme görüşmelerini durdurdu ,0
242,ozan güven in ifadesini okudum feridun abi yi ararken mantıklı şeyler söylemişti ,0
243,aşırı iyi ,0
244,günün değil asrın oçu ,1
245,orospu evladı seni ,1
246,şerefsiz orospu çocuğu ,1
247,kadar beyinsiz bir insansın sen ,1
248,örgütlü şerefsizliktir ,1
249,olamaz orospu çocuğu ,1
250,orospuçocuğu ananı sikeyim vatan haini sülalenisikeyim vatanhaini alman köpeği sizin müslümanlığınız küfürü utanmadan ediyorsunuz allah diyorsunuz lahtan korkmuyorsunuz sizlerle hesaplaşmak cehenneme gitmek istiyorum sizi ancak orada bulurum ,1
251,orospu çocuğu senin beni üzmeye hakkın var ,1
252,nsan değilsin orospu çocuğu ,1
253,gün geçmiyor memelektte yeni bir orospu çocuğu görmeyelim ,1
254,havaş senin tekrar amk ,1
255,günaydın remini senin amk ,1
256,kahpe zehra kusura bakma hızımı alamıyorum senin ben amk ,1
257,kaşar ağır küfürleri hak ediyor ,1
258,yavşak melikşah sende sattın bizi senin ben amk ,1
259,senin kafanı sikeyim ,1
260,senin ben amk ,1
261,amk un denyosu bir şeyi içi boş kafana sok sus ,1
262,amk dengesizi burda meydan okumaya çıktı senin olmayan beynini sikeyim ,1
263,senin ben tipini sikeyim amk balonu ,1
264,senin beynin yok amk malı beynin ,1
265,saat çalış bakırköy sahilde sabahla amk senin ,1
266,hasiktir lan dalyarrak ,1
267,senin başkaldırına sokayım ,1
268,çirkin bi tipin var senin ,1
269,babama senin kızı bizim oğlana alalım diyen emmi senin amk ,1
270,hay senin olmayan beynine köpek işesin amk ,1
271,amk sercanı keline sıçayım senin ,1
272,kusura bakma senin ben amk artik yeter ,1
273,bunları görüyorsan senin amk ,1
274,senin aklı sikiyim ben ,1
275,yaşamaya değmezsin git öldür kendini cidden ,1
276,senin ağzına sıçim ,1
277,senin ben amk ,1
278,mabel matiz senin amk ,1
279,yalancı sahtekar dallama ,1
280,çomar orospu evlatları yine kudurmuş ,1
281,sevmeyen siktirsin gitsin ,1
282,çomar orospu evlatları zaman tükenecek ülkede ,1
283,çomar piç ,1
284,senin aklın yok fikrin var çomar ,1
285,zoruna gitti çomar ,1
286,amk cocugu boyle salak terimler kullaniyo ,1
287,fakiriz salak degiliz ,0
288,bende salak gözümü falan kaçırıyorum malmışım be ,0
289,muazzam değil mi seni salak yerine koyuyorlar sen şeyin farkındasın ,0
290,gençler yaşlıların aptal olduğunu düşünür yaşlılar gençlerin aptal olduğunu bilir ,0
291,birimiz aptal yada saf değiliz sadece susuyor görmezden geliyoruz ,0
292,hayatımda gördüğüm aptal kişi ,1
293,aptal evladı ,1
294,tanıştırayım adi şerefsiz namussuz ,1
295,alçakça yapılan ahlaksız şerefsiz namussuz paylaşımları lanetliyorum ,0
296,bunlar şerefsiz haysiyetsiz namussuz ,1
297,onun bunun çocuklarısınız ,1
298,sizi gidi yunan kerhanesi çocukları ,1
299,şerefsiz namussuz adama iyi bakın ,1
300,gerçeğin savunucusuyuz gizlenmek bir derdimiz esasında yok namussuz haysiyetsiz şerefsiz bir güruhla karşı karşıya iken ,1
301,demek ağlatmak suretiyle cima etsek neler çıkacak ortaya vay amk ,1
302,exatlon aq ,1
303,exatlon şuan çekiliyor olsaydı acun takımları eşitlemek beyaz takıma berkanı transfer ederdi sonra siyahlar oyun kazanamazdı ,0
304,old youtuber tayfayı olduklarını bilmediği çöp kategorisine koyanlar yormayın ,0
305,tanıdıklarım bir elin parmağını geçmez olaya bak ,0
306,doğanın dilaranın bacaklarından kıl var demesi cnrkxkemck sonrasında kısa bi bakışma ,0
307,elanur yürüme koş koş ,0
308,hiçbirini tanımıyorum bazıları mal ,1
309,acun yaptığın programa dünyanın zor yarışması diyorsun ,0
310,bi karar ver artık kanka deli olacaksın yakında ,0
311,exatlon parkuru survivor parkurlarından güzel ,0
312,yakışıklı oldugunuz kadar vay anasını avradanısınızda furkan bey ,0
313,gizem hortlak mısın yerden çıkıyon mk ,1
314,gözümüzü gönlümüzü açtın allah razı olsun ,0
315,uzun zamandır bekliyordum ,0
316,siyah takımın kazanmasını böyle izliyorum ,0
317,zor durumdayım kiramı ödeyemedim evim kötü durumda ,0
318,exatlon daki cezalar kötü lan ,0
319,orkun kusura bakma bok sunmuşsun ,0
320,orkun ışıtmak isimleri sosyal medyadan iyi tanıyorsunuz ,0
321,kız öldü amk afafsg ,1
322,orkun şuan yanıyorsun diyor ,0
323,exatlon futkan okum cenabet mi gittin oralara bi insanın cezada başına bi mi gelir tam bir ergen ibne ,1
324,aynı kişi mi bunlar ,0
325,izlemedim izlemek bir niyetimde yok sene survivor bana yetti exatlon hic cekemem ,0
326,gözde inşallah diskalifiye olursun ,1
327,yağmur baya iyi lan hayran kaldım kadına ,0
328,gözde nın hırsına aşık oldum ,0
329,survivor kadar kurgu algıdan gına gelmişken exatlon izlemek ,0
330,elanin kiminle hazırlandığı açıklanmış ,0
331,öykü berkan bir instagram fenomeni yarışıyormuş önce kızın ismini bile duymamıştım ,0
332,buna elanur demişsiniz bildiğimiz survivor gizem ,0
333,tarafım belli miafitz ,0
334,üzümlü kekim ,0
335,exatlon cringe bı program twitter gördüm direkt anladım izleyenler yaşınız kaç merak tim boş insanlarsınız ,1
336,ka tanımadığımız fenomen varsa toplamışsınız bitek hayrettini tanıyorum amk nen evdemi exatlon ,0
337,ulan walter neler getirebilirsin merakla izliyorum seni ,0
338,dizi filmlerdeki kadın şiddetine tacizlerine rtük ün bir el atması lazım ,0
339,kadına şiddete hayır ,0
340,hayata karşı doğan bakıyorum nadir barış oluyorum ,0
341,doğruları konuşalım ,0
342,türkiyenin tek tamamen türkçe koronavirüs canlı yayınına aşağıdaki linkten ulaşabilirsiniz ,0
343,kızların gün bakım yapmamasıyla çöküp çirkin olmaları ,1
344,bunlar aynı kişi mi aq ,0
345,kaç yıldır instagram kullanıyorum aq ,1
346,gündeme geri dönelim exatlon tarafınızı görelim bakalım ,0
347,harikasın mükemmelsin efsanesin ,0
348,netflix fakiriyiz anlatsanıza nasil yeni yarışma ,0
349,bunlar aynı kişi olabilir arkadaşlar ,0
350,dilara mükemmeldi aksini dia eden kördür kendini parkur geliştirdi yargı dağıttı aferin kız sana ,0
351,tamamıyla fuhuş ,1
352,exatlon başarılı buldum özellikle netflix te olması süper olmuş ,0
353,tatlısın canm ,0
354,sunun dikkat cekme cabasini gozumun onunden ceksin ,0
355,survivor parkurundan sonra exatlon parkuru gözümüzü gönlümüzü açtı ,0
356,koşarmısın gelip arkadan ittirelim mi ,0
357,gayette çoğu kişiyi tanıyoruz mağarada yaşıyosunuz amk twit altına anan kardeşim ,1
358,fazla çökmüş burada ,0
359,hadi bismillah ben basliyom ,0
360,direkt miafitz yapsaydınız smini tutardı program ,0
361,kusursuz ,0
362,ben izleyemiyorum benim netflix yok ,0
363,ikisi yarışsa oyunu başkası kazanır ,0
364,günde saati instagramda geçirip yarışmadakileri tanımam ,0
365,türkiye elraen delimine yi izlemek vardı ,0
366,exatlonun güçlüsü benim ,0
367,ben aşırı eğleniyorum şuan ,0
368,bırakın artık boş şeyleri konuşmayı acun yeteri kadar zengin etmediniz mi exatlon önemli ,1
369,kızların hiçbirini tanımıyorum dkfjdkfkdkfkkdkf ,0
370,erkeklerden urası hayrettini doğanı tanıyorum sadece ,0
371,finalde acun ilıcalı yı unutmayıp yarı siyah tişört giyen koca yürekli orkun ,0
372,yarışmaya gidecek olursam ilerde tek isteğim elanur öyküden biraz hızlı olmak elanur aşko atışların mükemmel bitiricilik yok ,0
373,sırf şerefsiz evlatları var sosyal medyanın kökten kapatılması taraftarıyım ,1
374,arkadaşlar farkında mısınız tek amacımız barışın şampiyon olması herkes onun açtı sayfalarını ,0
375,panoromalarda iyilerden bahsedilirken sürekli cemal can dan bahsedilmesi tırnaklarıyla kazıyarak yaptı başarıyı ,0
376,spoiler veriyorum ,1
377,cemal can sistematik olarak tanıdık arkadaşlarına söyleyip olumsuz haberler yaptıranlar oluyor ,0
378,hakanın bunları söylerken yüzüne bakın kuduruyor icten ice barışı kıskanmaktan dedigini bilmiyor ,1
379,iq lu nisa bölükbaşı nın kanalına yüklediği videoya bakar mısınız lütfen iq düşürsün lütfen ,1
380,şeye rağmen önemlisi nezaket centilmenlik ,0
381,sayın hakan hatipoğluna şöyle cevap vermek istiyoruz ,0
382,herkes konusur önemli olan icraat ,0
383,of nisa avokadoyu bırakmadın çocuk sen klinikteyken bile ona sarılıp uyumuştu ,0
384,seviyorum seni babakom ,0
385,barış fanları cahil maalesef geneli eğitimsiz kesim ,1
386,çocuktan fi nalleri almak öyle kolay deği ,0
387,kaptan cemal can yaparak takımına son sayısını getiriyor ,0
388,kaptanlık oyununda cemalin berkanı almak hadi barış iyi süreyi yap demesini bi tek ben farketmedim heralde ,0
389,exatlonda aynı eşleşmeler oluyor ,0
390,barış anadolu efes te basket oynamış basketbol oyununda ilk tur ersin seçiyor söyleyeceklerim kadar ,0
391,mert benim hesabımda kişi takip ediyor size diyecek ufak lafım bile yok yazıklar olsun vallahi ,0
392,final günü bmy kimseye oy kaydirmak yok tek geldik tek gidmemiz lazim gün kaldi şurda ,0
393,şampi yon olacaksin karakartal ,0
394,ellerine sağlık ,0
395,bunu yazman komik durmuş bilmiyorsun ,0
396,halkımız salak değil ,0
397,kıskanç vasıfsız kendini bi bok sanan semihi bi fotoğrafla size anlatıyorum ,1
398,su bolumleri adem havvadan baslatmayi birakir misiniz ,0
399,algı kralları paralı köpekler tiksiniyorum sizden sahtesiniz sahte ,1
400,video temsilidir lütfen yanlış yerlere çekmeyin söyledikleri haftanın özeti olduğu ,0
401,ben böyle bişey görmedim geçmiş olsun ,0
402,barış şuan inanılmaz bir destek var ,0
403,dün bölümü tekrar izledim yer kafama takıldı düşünüyorsunuz bilmiyorum benim düşüncem yönde ,0
404,cemal canı kastediyorsa gidip yanına oturup dertleşiyor ,0
405,kendisi ikiyüzlü ,1
406,yazdıysa gerçekleri gören valla helal olsun ,0
407,mutlu oldum oğlum benim mesajımı aldı okudu sevindim ,0
